"","Estado","Cod","DEM12","GOP12","DEM04","GOP04","DEM92","GOP92","DEM80","GOP80","Tend","REG","Y80","Y92","Y04","Y12"
"1","Alabama","AL",38.36,60.55,36.84,62.46,40.88,47.65,47.45,48.75,"REP","South","C","D","E","E"
"2","Alaska","AK",40.81,54.8,35.52,61.07,30.29,39.46,26.41,54.35,"REP","West","E","D","E","E"
"3","Arizona","AZ",44.59,53.65,44.4,54.87,36.52,38.47,28.24,60.61,"REP","West","E","C","E","D"
"4","Arkansas","AR",36.88,60.57,44.55,54.31,53.21,35.48,47.52,48.13,"REP","South","C","A","D","E"
"5","California","CA",60.24,37.12,54.31,44.36,46.01,32.61,35.91,52.69,"DEM","West","E","A","B","A"
"6","Colorado","CO",51.49,46.13,47.02,51.69,40.13,35.87,31.07,55.07,"BGS","West","E","B","D","B"
"7","Connecticut","CT",58.06,40.73,54.31,43.95,42.21,35.78,38.52,48.16,"DEM","Northest","D","B","A","A"
"8","Delaware","DE",58.61,39.98,53.35,45.75,43.52,35.78,44.87,47.21,"DEM","South","D","B","B","A"
"9","D.C.","DC",90.91,7.28,89.18,9.34,84.64,9.1,74.89,13.41,"DEM","South","A","A","A","A"
"10","Florida","FL",50.01,49.13,47.09,52.1,39,40.89,38.5,55.52,"BGS","South","E","C","D","C"
"11","Georgia","GA",45.58,53.3,41.37,57.97,43.47,42.88,55.76,40.95,"REP","South","A","C","E","D"
"12","Hawaii","HA",70.55,27.84,54.01,45.26,48.09,36.7,44.8,42.9,"DEM","West","C","A","B","A"
"13","Idaho","ID",32.62,64.53,30.26,68.38,28.42,42.03,25.19,66.46,"REP","West","E","E","E","E"
"14","Illinois","IL",57.6,40.73,54.82,44.48,48.58,34.34,41.72,49.65,"DEM","Midwest","D","A","A","A"
"15","Indiana","IN",43.93,54.13,39.26,59.94,36.79,42.91,37.65,56.01,"REP","Midwest","E","D","E","E"
"16","Iowa","IA",51.99,46.18,49.23,49.9,43.29,37.27,38.6,51.31,"BGS","Midwest","E","B","C","B"
"17","Kansas","KS",37.99,59.71,36.62,62,33.74,38.88,33.29,57.85,"REP","Midwest","E","D","E","E"
"18","Kentucky","KY",37.8,59.71,39.69,59.55,44.55,41.34,47.61,49.07,"REP","South","C","B","E","E"
"19","Louisiana","LA",40.58,57.78,42.22,56.72,45.58,40.97,45.75,51.2,"REP","South","D","B","E","E"
"20","Maine","ME",56.27,40.98,53.57,44.58,38.77,30.39,42.25,45.61,"DEM","Northest","D","B","B","A"
